id,color,color_id,height,image_file,image_height,image_width,index,width,x,y,center_x,center_y,center_x_norm,center_y_norm,longer,shorter,aspect_max_min,aspect,size
38,black,black,163,B105.json,984,1000,10,323,46,454,207.5,535.5,0.2075,0.5442073170731707,323,163,1.98159509202454,1.98159509202454,52649
39,white,white,163,B105.json,984,1000,11,260,369,454,499.0,535.5,0.499,0.5442073170731707,260,163,1.5950920245398772,1.5950920245398772,42380
40,black,black,325,B105.json,984,1000,12,237,629,454,747.5,616.5,0.7475,0.6265243902439024,325,237,1.371308016877637,0.7292307692307692,77025
41,red,red,311,B105.json,984,1000,13,200,169,617,269.0,772.5,0.269,0.7850609756097561,311,200,1.555,0.6430868167202572,62200
42,white,white,162,B105.json,984,1000,14,260,369,617,499.0,698.0,0.499,0.709349593495935,260,162,1.6049382716049383,1.6049382716049383,42120
43,white,white,230,B105.json,984,1000,15,169,0,617,84.5,732.0,0.0845,0.7439024390243902,230,169,1.3609467455621302,0.7347826086956522,38870
44,blue,blue,149,B105.json,984,1000,16,260,369,779,499.0,853.5,0.499,0.8673780487804879,260,149,1.74496644295302,1.74496644295302,38740
45,yellow,yellow,149,B105.json,984,1000,17,237,629,779,747.5,853.5,0.7475,0.8673780487804879,237,149,1.5906040268456376,1.5906040268456376,35313
46,white,white,205,B105.json,984,1000,18,134,866,779,933.0,881.5,0.933,0.8958333333333334,205,134,1.5298507462686568,0.6536585365853659,27470
47,white,white,137,B105.json,984,1000,19,169,0,847,84.5,915.5,0.0845,0.9303861788617886,169,137,1.2335766423357664,1.2335766423357664,23153
48,black,black,56,B105.json,984,1000,20,460,169,928,399.0,956.0,0.399,0.9715447154471545,460,56,8.214285714285714,8.214285714285714,25760
49,white,white,56,B105.json,984,1000,21,237,629,928,747.5,956.0,0.7475,0.9715447154471545,237,56,4.232142857142857,4.232142857142857,13272
50,white,white,44,B105.json,984,1000,22,323,46,0,207.5,22.0,0.2075,0.022357723577235773,323,44,7.340909090909091,7.340909090909091,14212
51,white,white,152,B105.json,984,1000,23,260,369,0,499.0,76.0,0.499,0.07723577235772358,260,152,1.7105263157894737,1.7105263157894737,39520
52,white,white,152,B105.json,984,1000,24,237,629,0,747.5,76.0,0.7475,0.07723577235772358,237,152,1.5592105263157894,1.5592105263157894,36024
53,yellow,yellow,236,B105.json,984,1000,25,134,866,0,933.0,118.0,0.933,0.11991869918699187,236,134,1.7611940298507462,0.5677966101694916,31624
54,black,black,236,B105.json,984,1000,26,46,0,0,23.0,118.0,0.023,0.11991869918699187,236,46,5.130434782608695,0.19491525423728814,10856
55,white,white,192,B106.json,1000,850,0,462,81,54,312.0,150.0,0.36705882352941177,0.15,462,192,2.40625,2.40625,88704
56,red,red,192,B106.json,1000,850,1,234,543,54,660.0,150.0,0.7764705882352941,0.15,234,192,1.21875,1.21875,44928
57,yellow,yellow,259,B106.json,1000,850,2,237,81,246,199.5,375.5,0.23470588235294118,0.3755,259,237,1.0928270042194093,0.915057915057915,61383
58,yellow,yellow,259,B106.json,1000,850,3,225,318,246,430.5,375.5,0.5064705882352941,0.3755,259,225,1.1511111111111112,0.8687258687258688,58275
59,blue,blue,506,B106.json,1000,850,4,234,543,246,660.0,499.0,0.7764705882352941,0.499,506,234,2.1623931623931623,0.4624505928853755,118404
60,white,white,633,B106.json,1000,850,5,73,777,246,813.5,562.5,0.9570588235294117,0.5625,633,73,8.67123287671233,0.11532385466034756,46209
61,red,red,259,B106.json,1000,850,6,81,0,246,40.5,375.5,0.04764705882352941,0.3755,259,81,3.197530864197531,0.3127413127413127,20979
62,white,white,247,B106.json,1000,850,7,237,81,505,199.5,628.5,0.23470588235294118,0.6285,247,237,1.0421940928270041,0.9595141700404858,58539
63,red,red,247,B106.json,1000,850,8,225,318,505,430.5,628.5,0.5064705882352941,0.6285,247,225,1.0977777777777777,0.9109311740890689,55575
64,black,black,374,B106.json,1000,850,9,81,0,505,40.5,692.0,0.04764705882352941,0.692,374,81,4.617283950617284,0.21657754010695188,30294
65,white,white,127,B106.json,1000,850,10,237,81,752,199.5,815.5,0.23470588235294118,0.8155,237,127,1.8661417322834646,1.8661417322834646,30099
66,black,black,127,B106.json,1000,850,11,225,318,752,430.5,815.5,0.5064705882352941,0.8155,225,127,1.7716535433070866,1.7716535433070866,28575
67,yellow,yellow,127,B106.json,1000,850,12,234,543,752,660.0,815.5,0.7764705882352941,0.8155,234,127,1.8425196850393701,1.8425196850393701,29718
68,white,white,121,B106.json,1000,850,13,237,81,879,199.5,939.5,0.23470588235294118,0.9395,237,121,1.9586776859504131,1.9586776859504131,28677
69,blue,blue,121,B106.json,1000,850,14,459,318,879,547.5,939.5,0.6441176470588236,0.9395,459,121,3.793388429752066,3.793388429752066,55539
70,blue,blue,121,B106.json,1000,850,15,73,777,879,813.5,939.5,0.9570588235294117,0.9395,121,73,1.6575342465753424,0.6033057851239669,8833
71,white,white,121,B106.json,1000,850,16,81,0,879,40.5,939.5,0.04764705882352941,0.9395,121,81,1.4938271604938271,0.6694214876033058,9801
72,blue,blue,54,B106.json,1000,850,17,462,81,0,312.0,27.0,0.36705882352941177,0.027,462,54,8.555555555555555,8.555555555555555,24948
73,white,white,54,B106.json,1000,850,18,234,543,0,660.0,27.0,0.7764705882352941,0.027,234,54,4.333333333333333,4.333333333333333,12636
74,yellow,yellow,246,B106.json,1000,850,19,73,777,0,813.5,123.0,0.9570588235294117,0.123,246,73,3.3698630136986303,0.2967479674796748,17958
75,white,white,246,B106.json,1000,850,20,81,0,0,40.5,123.0,0.04764705882352941,0.123,246,81,3.037037037037037,0.32926829268292684,19926
76,white,white,155,B107.json,989,1000,0,283,347,54,488.5,131.5,0.4885,0.13296258847320525,283,155,1.8258064516129033,1.8258064516129033,43865
77,yellow,yellow,155,B107.json,989,1000,1,261,630,54,760.5,131.5,0.7605,0.13296258847320525,261,155,1.6838709677419355,1.6838709677419355,40455
78,blue,blue,431,B107.json,989,1000,2,265,82,209,214.5,424.5,0.2145,0.42922143579373107,431,265,1.6264150943396227,0.6148491879350348,114215
79,blue,blue,151,B107.json,989,1000,3,283,347,209,488.5,284.5,0.4885,0.28766430738119314,283,151,1.8741721854304636,1.8741721854304636,42733
80,red,red,151,B107.json,989,1000,4,140,630,209,700.0,284.5,0.7,0.28766430738119314,151,140,1.0785714285714285,0.9271523178807947,21140
81,blue,blue,151,B107.json,989,1000,5,121,770,209,830.5,284.5,0.8305,0.28766430738119314,151,121,1.2479338842975207,0.8013245033112583,18271
82,white,white,151,B107.json,989,1000,6,109,891,209,945.5,284.5,0.9455,0.28766430738119314,151,109,1.385321100917431,0.7218543046357616,16459
83,white,white,431,B107.json,989,1000,7,82,0,209,41.0,424.5,0.041,0.42922143579373107,431,82,5.2560975609756095,0.1902552204176334,35342
84,blue,blue,280,B107.json,989,1000,8,283,347,360,488.5,500.0,0.4885,0.5055611729019212,283,280,1.0107142857142857,1.0107142857142857,79240
85,white,white,280,B107.json,989,1000,9,261,630,360,760.5,500.0,0.7605,0.5055611729019212,280,261,1.0727969348659003,0.9321428571428572,73080
86,white,white,280,B107.json,989,1000,10,109,891,360,945.5,500.0,0.9455,0.5055611729019212,280,109,2.5688073394495414,0.3892857142857143,30520
